종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
한화엔진,"51,600","상승2,850",+5.85%,"515,818","26,824","43,059"
넷마블,"51,900",상승500,+0.97%,"48,288","2,535","42,537"
한화생명,"4,890",하락80,-1.61%,"1,607,146","7,855","42,471"
한온시스템,"3,945",하락110,-2.71%,"1,909,599","7,581","40,486"
강원랜드,"18,150",상승10,+0.06%,"81,188","1,472","38,830"
SKC,"101,000","하락1,100",-1.08%,"23,288","2,352","38,247"
LG생활건강,"243,500","하락3,000",-1.22%,"6,328","1,542","37,261"
영원무역,"82,400",상승600,+0.73%,"7,003",571,"36,513"
OCI홀딩스,"189,600","상승6,800",+3.72%,"98,436","19,006","35,399"
롯데케미칼,"80,100",상승300,+0.38%,"30,703","2,450","34,263"
현대엘리베이터,"87,600",하락400,-0.45%,"16,370","1,433","34,245"
SK바이오사이언스,"43,300",상승500,+1.17%,"16,146",701,"33,962"
금호석유화학,"129,100",하락900,-0.69%,"6,558",850,"33,607"
한국가스공사,"36,000",보합0,0.00%,"27,119",976,"33,233"
에스원,"87,400",상승500,+0.58%,"6,918",605,"33,211"
CJ제일제당,"218,500",하락500,-0.23%,"5,086","1,105","32,893"
한올바이오파마,"62,400","상승4,500",+7.77%,"371,415","22,726","32,598"
한솔케미칼,"286,500","상승4,000",+1.42%,"10,537","3,027","32,576"
롯데쇼핑,"115,100","상승3,800",+3.41%,"28,577","3,256","32,560"
신세계,"335,000","하락2,000",-0.59%,"3,222","1,074","32,311"
롯데지주,"30,600",하락500,-1.61%,"48,844","1,497","32,102"
영원무역홀딩스,"222,000","상승1,500",+0.68%,"2,436",537,"29,968"
이수스페셜티케미컬,"93,900","상승2,900",+3.19%,"129,104","12,165","28,376"
현대해상,"31,200",하락950,-2.95%,"90,132","2,835","27,893"
HD현대마린엔진,"82,000","상승4,500",+5.81%,"305,814","25,139","27,816"
에스엘,"59,700","하락1,300",-2.13%,"15,102",901,"27,730"
한전KPS,"61,200","하락1,600",-2.55%,"48,583","2,994","27,540"
iM금융지주,"17,050",상승70,+0.41%,"38,793",661,"27,386"
풍산,"96,400","하락1,800",-1.83%,"50,191","4,851","27,015"
동서,"27,050",하락150,-0.55%,"12,923",348,"26,969"
팬오션,"5,040",하락40,-0.79%,"394,697","1,991","26,942"
이마트,"97,500","하락1,000",-1.02%,"38,691","3,774","26,906"
한미사이언스,"38,200",상승500,+1.33%,"18,448",703,"26,126"
씨에스윈드,"61,700","하락1,600",-2.53%,"192,793","12,211","26,020"
세아베스틸지주,"71,600",하락900,-1.24%,"82,424","5,850","25,677"
DL이앤씨,"66,200","하락3,100",-4.47%,"608,724","41,001","25,615"
한국앤컴퍼니,"26,800",하락800,-2.90%,"16,536",445,"25,443"
CJ대한통운,"110,700","하락1,400",-1.25%,"4,609",511,"25,253"
HL만도,"51,650",하락750,-1.43%,"37,328","1,939","24,253"
F&F,"61,800","하락1,000",-1.59%,"10,687",661,"23,674"
제일기획,"20,050",보합0,0.00%,"48,994",983,"23,066"
DN오토모티브,"39,250",상승50,+0.13%,"28,867","1,131","22,966"
농심,"374,500","하락4,000",-1.06%,"2,559",957,"22,779"
GS건설,"26,450",하락950,-3.47%,"612,771","16,291","22,636"
현대위아,"82,200",하락400,-0.48%,"13,405","1,099","22,354"
한국카본,"42,950","상승1,100",+2.63%,"575,276","25,230","22,295"
